metric,value
run_seconds,810.52
packets_measured,21901
latency_mean_ms,20.0522
latency_median_ms,3.7019
latency_p95_ms,94.3072
latency_p99_ms,280.1246
latency_max_ms,4248.9708
cpu_mean_pct,42.44
cpu_max_pct,99.2
mem_mean_mb,387.89
mem_max_mb,401.71
TP,5430
FP,4426
TN,8698
FN,3347
recall_detection_rate,0.6187
precision,0.5509
false_positive_rate,0.3372
accuracy,0.6451
f1,0.5828
offline_recall,0.9993
offline_f1,0.8528
retention_ratio_recall,0.6191
retention_ratio_f1,0.6834
