metric,value
run_seconds,727.36
packets_measured,34909
latency_mean_ms,5.1136
latency_median_ms,3.0897
latency_p95_ms,16.338
latency_p99_ms,34.0425
latency_max_ms,413.988
cpu_mean_pct,30.76
cpu_max_pct,85.3
mem_mean_mb,398.49
mem_max_mb,424.37
TP,12889
FP,8330
TN,12587
FN,1103
recall_detection_rate,0.9212
precision,0.6074
false_positive_rate,0.3982
accuracy,0.7298
f1,0.7321
offline_recall,0.9993
offline_f1,0.8528
retention_ratio_recall,0.9218
retention_ratio_f1,0.8585
