metric,value
run_seconds,1369.74
packets_measured,51709
latency_mean_ms,17.3098
latency_median_ms,7.3226
latency_p95_ms,69.6109
latency_p99_ms,187.6283
latency_max_ms,1375.426
cpu_mean_pct,69.5
cpu_max_pct,104.1
mem_mean_mb,415.15
mem_max_mb,451.16
TP,19021
FP,13068
TN,17961
FN,1659
recall_detection_rate,0.9198
precision,0.5928
false_positive_rate,0.4212
accuracy,0.7152
f1,0.7209
offline_recall,0.9993
offline_f1,0.8528
retention_ratio_recall,0.9204
retention_ratio_f1,0.8454
