metric,value
run_seconds,593.34
packets_measured,28756
latency_mean_ms,5.0621
latency_median_ms,3.2211
latency_p95_ms,14.7636
latency_p99_ms,30.6129
latency_max_ms,291.8111
cpu_mean_pct,30.55
cpu_max_pct,79.0
mem_mean_mb,393.22
mem_max_mb,415.16
TP,10182
FP,6612
TN,10643
FN,1319
recall_detection_rate,0.8853
precision,0.6063
false_positive_rate,0.3832
accuracy,0.7242
f1,0.7197
offline_recall,0.9993
offline_f1,0.8528
retention_ratio_recall,0.8859
retention_ratio_f1,0.8439
